participant_id,timestamp,language,row_type,age_band,gender,education,ai_use_freq,law_familiarity,native_language,order_position,scenario_key,scenario_title,risk_level,condition,confidence_shown,is_probe,t_reliable,t_accurate,t_confident,t_wary,t_source,t_understand,t_use,t_rely,attention_check,attention_pass,manip_notice,manip_most_trusted,reflect_open,comment
20260603185058026488,2026-06-03 18:55:07,en,final,18–24,Other,Bachelor's degree,Rarely,1,Both equally,,,,,,,,,,,,,,,,"Yes, clearly",Answers that showed sources and confidence,,,,
20260603185611523005,2026-06-03 18:57:18,en,scenario,35–44,Male,Post-secondary / MCAST / Sixth Form,Never,4,Both equally,1.0,alcohol,Breath Test & Alcohol Limit,high,RAG (no transparency),,0.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,,,,,,
20260603185610443345,2026-06-03 18:59:08,en,scenario,45–54,Female,Bachelor's degree,Daily,4,Other,1.0,alcohol,Breath Test & Alcohol Limit,high,RAG (no transparency),,0.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,,,,,,
20260603185610443345,2026-06-03 19:00:32,en,scenario,45–54,Female,Bachelor's degree,Daily,4,Other,2.0,points,Penalty Points,medium,Baseline,,0.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,,,,,,
20260603185610443345,2026-06-03 19:02:58,en,scenario,45–54,Female,Bachelor's degree,Daily,4,Other,3.0,speed,Speed Limits,low,RAG + Transparency,High,0.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,,,,,,
20260603185610443345,2026-06-03 19:04:38,en,scenario,45–54,Female,Bachelor's degree,Daily,4,Other,4.0,probe,Lending Your Car,medium,RAG + Transparency,Low,1.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,,,,,,
20260603185610443345,2026-06-03 19:05:08,en,final,45–54,Female,Bachelor's degree,Daily,4,Other,,,,,,,,,,,,,,,,"Yes, somewhat",Answers that showed sources and confidence,,,,
20260603190541073470,2026-06-03 19:08:02,en,scenario,35–44,Male,Master's or higher,Daily,3,English,1.0,alcohol,Breath Test & Alcohol Limit,high,Baseline,,0.0,4.0,4.0,5.0,2.0,3.0,3.0,3.0,1.0,,,,,,
20260603190541073470,2026-06-03 19:10:52,en,scenario,35–44,Male,Master's or higher,Daily,3,English,2.0,points,Penalty Points,medium,RAG (no transparency),,0.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,1.0,,,,,,
20260603185611523005,2026-06-03 19:12:05,en,scenario,35–44,Male,Post-secondary / MCAST / Sixth Form,Never,4,Both equally,2.0,points,Penalty Points,medium,Baseline,,0.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,
20260603185611523005,2026-06-03 19:12:37,en,scenario,35–44,Male,Post-secondary / MCAST / Sixth Form,Never,4,Both equally,3.0,speed,Speed Limits,low,RAG + Transparency,High,0.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,,,,,,
20260603185611523005,2026-06-03 19:13:17,en,scenario,35–44,Male,Post-secondary / MCAST / Sixth Form,Never,4,Both equally,4.0,probe,Lending Your Car,medium,RAG + Transparency,Low,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,,,,,,
20260603185611523005,2026-06-03 19:14:19,en,final,35–44,Male,Post-secondary / MCAST / Sixth Form,Never,4,Both equally,,,,,,,,,,,,,,,,"Yes, clearly",Answers that showed sources and confidence,,,,
20260603190541073470,2026-06-03 19:15:33,en,scenario,35–44,Male,Master's or higher,Daily,3,English,3.0,probe,Lending Your Car,medium,RAG + Transparency,Low,1.0,5.0,2.0,2.0,5.0,3.0,2.0,1.0,1.0,,,,,,
20260603191534952819,2026-06-03 19:16:37,en,scenario,25–34,Male,Bachelor's degree,Daily,1,Both equally,1.0,points,Penalty Points,medium,Baseline,,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
20260603191534952819,2026-06-03 19:16:50,en,scenario,25–34,Male,Bachelor's degree,Daily,1,Both equally,2.0,alcohol,Breath Test & Alcohol Limit,high,RAG (no transparency),,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
20260603191534952819,2026-06-03 19:17:30,en,scenario,25–34,Male,Bachelor's degree,Daily,1,Both equally,3.0,probe,Lending Your Car,medium,RAG + Transparency,Low,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
20260603191534952819,2026-06-03 19:17:49,en,scenario,25–34,Male,Bachelor's degree,Daily,1,Both equally,4.0,speed,Speed Limits,low,RAG + Transparency,High,0.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,,,,,,
20260603191534952819,2026-06-03 19:17:56,en,final,25–34,Male,Bachelor's degree,Daily,1,Both equally,,,,,,,,,,,,,,,,"Yes, clearly",Answers that showed sources and confidence,,,,
20260603190541073470,2026-06-03 19:18:06,en,scenario,35–44,Male,Master's or higher,Daily,3,English,4.0,speed,Speed Limits,low,RAG + Transparency,High,0.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,5.0,,,,,,
20260603190541073470,2026-06-03 19:18:37,en,final,35–44,Male,Master's or higher,Daily,3,English,,,,,,,,,,,,,,,,"Yes, somewhat",Answers that showed sources and confidence,,,,
20260603191914843664,2026-06-03 19:20:06,en,scenario,25–34,Female,Master's or higher,Monthly,3,English,1.0,points,Penalty Points,medium,Baseline,,0.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,,,,,,
20260603191914843664,2026-06-03 19:20:32,en,scenario,25–34,Female,Master's or higher,Monthly,3,English,2.0,alcohol,Breath Test & Alcohol Limit,high,RAG (no transparency),,0.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,,,,,,
20260603191914843664,2026-06-03 19:21:22,en,scenario,25–34,Female,Master's or higher,Monthly,3,English,3.0,speed,Speed Limits,low,RAG + Transparency,High,0.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,,,,,,
20260603191914843664,2026-06-03 19:22:28,en,scenario,25–34,Female,Master's or higher,Monthly,3,English,4.0,probe,Lending Your Car,medium,RAG + Transparency,Low,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,
20260603191912665026,2026-06-03 19:22:39,en,scenario,25–34,Prefer not to say,Post-secondary / MCAST / Sixth Form,Weekly,3,Other,1.0,alcohol,Breath Test & Alcohol Limit,high,Baseline,,0.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,,,,,,
20260603191914843664,2026-06-03 19:23:11,en,final,25–34,Female,Master's or higher,Monthly,3,English,,,,,,,,,,,,,,,,"Yes, somewhat",Answers that showed sources and confidence,,,,
20260603191912665026,2026-06-03 19:24:19,en,scenario,25–34,Prefer not to say,Post-secondary / MCAST / Sixth Form,Weekly,3,Other,2.0,speed,Speed Limits,low,RAG (no transparency),,0.0,4.0,5.0,4.0,2.0,3.0,5.0,4.0,4.0,,,,,,
20260603191912665026,2026-06-03 19:26:07,en,scenario,25–34,Prefer not to say,Post-secondary / MCAST / Sixth Form,Weekly,3,Other,3.0,probe,Lending Your Car,medium,RAG + Transparency,Low,1.0,4.0,4.0,5.0,2.0,4.0,5.0,3.0,4.0,,,,,,
20260603192509523731,2026-06-03 19:26:18,en,scenario,18–24,Male,Bachelor's degree,Daily,4,English,1.0,speed,Speed Limits,low,Baseline,,0.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,,,,,,
20260603192509523731,2026-06-03 19:27:13,en,scenario,18–24,Male,Bachelor's degree,Daily,4,English,2.0,alcohol,Breath Test & Alcohol Limit,high,RAG (no transparency),,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
20260603191912665026,2026-06-03 19:27:36,en,scenario,25–34,Prefer not to say,Post-secondary / MCAST / Sixth Form,Weekly,3,Other,4.0,points,Penalty Points,medium,RAG + Transparency,High,0.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,,,,,,
20260603192509523731,2026-06-03 19:27:47,en,scenario,18–24,Male,Bachelor's degree,Daily,4,English,3.0,probe,Lending Your Car,medium,RAG + Transparency,Low,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
20260603191912665026,2026-06-03 19:27:54,en,final,25–34,Prefer not to say,Post-secondary / MCAST / Sixth Form,Weekly,3,Other,,,,,,,,,,,,,,,,"No, I did not notice",I trusted them about the same,,,,
20260603192509523731,2026-06-03 19:28:02,en,scenario,18–24,Male,Bachelor's degree,Daily,4,English,4.0,points,Penalty Points,medium,RAG + Transparency,High,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
20260603192509523731,2026-06-03 19:28:08,en,final,18–24,Male,Bachelor's degree,Daily,4,English,,,,,,,,,,,,,,,,"Yes, clearly",Answers that showed sources and confidence,,,,
20260603192939228137,2026-06-03 19:30:14,en,scenario,35–44,Female,Master's or higher,Monthly,3,English,1.0,alcohol,Breath Test & Alcohol Limit,high,Baseline,,0.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,,,,,,
20260603192939228137,2026-06-03 19:30:38,en,scenario,35–44,Female,Master's or higher,Monthly,3,English,2.0,points,Penalty Points,medium,RAG (no transparency),,0.0,5.0,4.0,5.0,2.0,3.0,4.0,4.0,4.0,,,,,,
20260603192939228137,2026-06-03 19:31:10,en,scenario,35–44,Female,Master's or higher,Monthly,3,English,3.0,probe,Lending Your Car,medium,RAG + Transparency,Low,1.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,,,,,,
20260603192939228137,2026-06-03 19:31:36,en,scenario,35–44,Female,Master's or higher,Monthly,3,English,4.0,speed,Speed Limits,low,RAG + Transparency,High,0.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,,,,,,
20260603192939228137,2026-06-03 19:31:45,en,final,35–44,Female,Master's or higher,Monthly,3,English,,,,,,,,,,,,,,,,"Yes, clearly",Answers that showed sources and confidence,,,,
20260603193003852549,2026-06-03 19:35:03,en,scenario,55+,Prefer not to say,Secondary or below,Rarely,3,Other,1.0,points,Penalty Points,medium,RAG (no transparency),,0.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,,,,,,
20260603193003852549,2026-06-03 19:36:00,en,scenario,55+,Prefer not to say,Secondary or below,Rarely,3,Other,2.0,speed,Speed Limits,low,Baseline,,0.0,4.0,4.0,3.0,5.0,3.0,2.0,3.0,5.0,,,,,,
20260603193003852549,2026-06-03 19:37:09,en,scenario,55+,Prefer not to say,Secondary or below,Rarely,3,Other,3.0,probe,Lending Your Car,medium,RAG + Transparency,Low,1.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,,,,,,
20260603193630677893,2026-06-03 19:38:00,en,scenario,45–54,Female,Master's or higher,Weekly,3,English,1.0,alcohol,Breath Test & Alcohol Limit,high,Baseline,,0.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,,,,,,
20260603193003852549,2026-06-03 19:38:17,en,scenario,55+,Prefer not to say,Secondary or below,Rarely,3,Other,4.0,alcohol,Breath Test & Alcohol Limit,high,RAG + Transparency,High,0.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,,,,,,
20260603193630677893,2026-06-03 19:38:30,en,scenario,45–54,Female,Master's or higher,Weekly,3,English,2.0,speed,Speed Limits,low,RAG (no transparency),,0.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,,,,,,
20260603193003852549,2026-06-03 19:38:39,en,final,55+,Prefer not to say,Secondary or below,Rarely,3,Other,,,,,,,,,,,,,,,,"No, I did not notice",I trusted them about the same,,,,
20260603193630677893,2026-06-03 19:39:00,en,scenario,45–54,Female,Master's or higher,Weekly,3,English,3.0,points,Penalty Points,medium,RAG + Transparency,High,0.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,,,,,,
20260603193630677893,2026-06-03 19:39:23,en,scenario,45–54,Female,Master's or higher,Weekly,3,English,4.0,probe,Lending Your Car,medium,RAG + Transparency,Low,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
20260603193630677893,2026-06-03 19:39:30,en,final,45–54,Female,Master's or higher,Weekly,3,English,,,,,,,,,,,,,,,,"Yes, clearly",Answers that showed sources and confidence,,,,
